Species,Location,EASIN_status,GISD_status,invasive_flag
Encentrum astridae,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Ephelota truncata,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Eucheilota maculata,Netherlands,No_EASIN_data,Eucheilota maculata; Not in GISD,GISD_listed_globally
Euduboscquella costata,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Euduboscquella triangula,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Eurytemora velox,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Eutintinnus pectinis,Netherlands,No_EASIN_data,Eutintinnus pectinis; Not in GISD,GISD_listed_globally
Eutintinnus tubulosus,Netherlands,No_EASIN_data,Eutintinnus tubulosus; Not in GISD,GISD_listed_globally
Ficopomatus enigmaticus,Netherlands,No_EASIN_data,Ficopomatus enigmaticus; Invasive,GISD_listed_globally
Halicephalobus gingivalis,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Halichaetoderma fluviatile,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Halichaetoderma rivale,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Heteromastus filiformis,Netherlands,No_EASIN_data,Heteromastus filiformis; Not in GISD,GISD_listed_globally
Heterosigma akashiwo,Netherlands,No_EASIN_data,Heterosigma akashiwo; Not in GISD,GISD_listed_globally
Hydrosera whampoensis,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Hypania invalida,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Hypocoma acinetarum,Netherlands,No_EASIN_data,Hypocoma acinetarum; Not in GISD,GISD_listed_globally
Isias clavipes,Netherlands,No_EASIN_data,Isias clavipes; Not in GISD,GISD_listed_globally
Kuklikophrya ougandae,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Laackmanniella prolongata,Netherlands,No_EASIN_data,Laackmanniella prolongata; Not in GISD,GISD_listed_globally
Lagenisma coscinodisci,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Lineaperpetua lacustris,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Maeotias marginata,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Mallomonas akrokomos,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Mediolabrus comicus,Netherlands,No_EASIN_data,Mediolabrus comicus; Not in GISD,GISD_listed_globally
Melosira moniliformis,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Mesocyclops leuckarti,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Microglena uva-maris,Netherlands,No_EASIN_data,Microglena uva-maris; Not in GISD,GISD_listed_globally
Minutocellus polymorphus,Netherlands,No_EASIN_data,Minutocellus polymorphus; Not in GISD,GISD_listed_globally
Moerisia inkermanica,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Mytilicola orientalis,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Navicula perminuta,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Nitocra hibernica,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Nitzschia dubia,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Noctiluca scintillans,Netherlands,No_EASIN_data,Noctiluca scintillans; Not in GISD,GISD_listed_globally
Obelia dichotoma,Netherlands,No_EASIN_data,Obelia dichotoma; Not in GISD,GISD_listed_globally
Opercularella lacerata,Netherlands,No_EASIN_data,Opercularella lacerata; Not in GISD,GISD_listed_globally
Pandorina morum,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Paramecium putrinum,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Paraphysomonas hebetispina,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Parvilucifera rostrata,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Phryganella paradoxa,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Placorhynchus dimorphis,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Polykrikos kofoidii,Netherlands,No_EASIN_data,Polykrikos kofoidii; Not in GISD,GISD_listed_globally
Pristionchus lheritieri,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Proceraea cornuta,Netherlands,No_EASIN_data,Proceraea cornuta; Not in GISD,GISD_listed_globally
Prorodon ovum,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Prosthiostomum siphunculus,Netherlands,No_EASIN_data,Prosthiostomum siphunculus; Not in GISD,GISD_listed_globally
Protaphelidium rhizoclonii,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Protodrilus pythonius,Netherlands,No_EASIN_data,Protodrilus pythonius; Not in GISD,GISD_listed_globally
Protoperidinium claudicans,Netherlands,No_EASIN_data,Protoperidinium claudicans; Not in GISD,GISD_listed_globally
Pseudochilodonopsis fluviatilis,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Pseudodiaptomus marinus,Netherlands,No_EASIN_data,Pseudodiaptomus marinus; Not in GISD,GISD_listed_globally
Punctodora ratzeburgensis,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Rhaphoneis amphiceros,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Rhizodomus tagatzi,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Spermatozopsis exsultans,Netherlands,No_EASIN_data,Spermatozopsis exsultans; Not in GISD,GISD_listed_globally
Spermatozopsis similis,Netherlands,No_EASIN_data,Spermatozopsis similis; Not in GISD,GISD_listed_globally
Stentor polymorphus,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Strombidium conicum,Netherlands,No_EASIN_data,Strombidium conicum; Not in GISD,GISD_listed_globally
Stuckenia pectinata,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Stylonychia pustulata,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Syltodinium listii,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Synura curtispina,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Tenuicylindrus belgicus,Netherlands,No_EASIN_data,Tenuicylindrus belgicus; Not in GISD,GISD_listed_globally
Thalassiosira gessneri,Netherlands,No_EASIN_data,Thalassiosira gessneri; Not in GISD,GISD_listed_globally
Thalassoplanella collaris,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Tintinnopsis parvula,Netherlands,No_EASIN_data,Tintinnopsis parvula; Not in GISD,GISD_listed_globally
Trochiliopsis australis,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Tuberlatum coatsi,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Volvox tertius,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Vorticella similis,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Woodruffides metabolicus,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Zosterodasys transverses,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Bicosoecida,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Cercozoa,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Chlorophyceae,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Choanoflagellida,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Chrysophyceae,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Cryptomycota,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Cryptophyta,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Fragilariophycidae,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Perkinsea,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Perkinsidae,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Phaeophyceae,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Plasmodiophoridae,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Tintinnida,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured bolidophyte,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured ciliate,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured diatom,Netherlands,No_EASIN_data,uncultured diatom; Not in GISD,GISD_listed_globally
uncultured dinoflagellate,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured eukaryote,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured fungus,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured labyrinthulid,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured metazoan,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
uncultured stramenopile,Netherlands,No_EASIN_data,Invasive,GISD_listed_globally
Acartia clausii,Norway,No_EASIN_data,Acartia clausii; Not in GISD,GISD_listed_globally
Acartia tonsa,Norway,No_EASIN_data,Acartia tonsa; Not in GISD,GISD_listed_globally
Acineta flava,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Alcyonidioides mytili,Norway,No_EASIN_data,Alcyonidioides mytili; Not in GISD,GISD_listed_globally
Ancula gibbosa,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Anisolpidium rosenvingei,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Antetintinnidium mucicola,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Biecheleriopsis adriatica,Norway,No_EASIN_data,Biecheleriopsis adriatica; Not in GISD,GISD_listed_globally
Blidingia dawsonii,Norway,No_EASIN_data,Blidingia dawsonii; Not in GISD,GISD_listed_globally
Calliopaea bellula,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Carinina ochracea,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Centropages typicus,Norway,No_EASIN_data,Centropages typicus; Not in GISD,GISD_listed_globally
Ceramium diaphanum,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Ceramium rubrum,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Chaetoceros throndsenii,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Chaetopterus variopedatus,Norway,No_EASIN_data,Chaetopterus variopedatus; Not in GISD,GISD_listed_globally
Choreocolax polysiphoniae,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Clytia hemisphaerica,Norway,No_EASIN_data,Clytia hemisphaerica; Not in GISD,GISD_listed_globally
Convoluta convoluta,Norway,No_EASIN_data,Convoluta convoluta; Not in GISD,GISD_listed_globally
Dysteria lanceolata,Norway,No_EASIN_data,Dysteria lanceolata; Not in GISD,GISD_listed_globally
Ebria tripartita,Norway,No_EASIN_data,Ebria tripartita; Not in GISD,GISD_listed_globally
Echinocyamus pusillus,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Ercolania felina,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Euduboscquella costata,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Euduboscquella triangula,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Eurystomina ornata,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Eutintinnus tubulosus,Norway,No_EASIN_data,Eutintinnus tubulosus; Not in GISD,GISD_listed_globally
Gonothyraea loveni,Norway,No_EASIN_data,Gonothyraea loveni; Not in GISD,GISD_listed_globally
Gonyaulax montresoriae,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Harmothoe impar,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Hiatella arctica,Norway,No_EASIN_data,Hiatella arctica; Not in GISD,GISD_listed_globally
Laackmanniella prolongata,Norway,No_EASIN_data,Laackmanniella prolongata; Not in GISD,GISD_listed_globally
Laomedea flexuosa,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Licmophora abbreviata,Norway,No_EASIN_data,Licmophora abbreviata; Not in GISD,GISD_listed_globally
Limaria hians,Norway,No_EASIN_data,Limaria hians; Not in GISD,GISD_listed_globally
Lindrilus rubropharyngeus,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Litonotus pictus,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Magelona mirabilis,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Mecynostomum auritum,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Melosira moniliformis,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Membranipora membranacea,Norway,No_EASIN_data,Membranipora membranacea; Not in GISD,GISD_listed_globally
Merelina tokunagai,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Mesopedinella arctica,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Microglena uva-maris,Norway,No_EASIN_data,Microglena uva-maris; Not in GISD,GISD_listed_globally
Minutocellus polymorphus,Norway,No_EASIN_data,Minutocellus polymorphus; Not in GISD,GISD_listed_globally
Nereimyra punctata,Norway,No_EASIN_data,Nereimyra punctata; Not in GISD,GISD_listed_globally
Noctiluca scintillans,Norway,No_EASIN_data,Noctiluca scintillans; Not in GISD,GISD_listed_globally
Oncorhynchus kisutch,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Otocelis rubropunctata,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Oxyrrhis marina,Norway,No_EASIN_data,Oxyrrhis marina; Not in GISD,GISD_listed_globally
Panagrolaimus paetzoldi,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Parabirojimia similis,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Paramecynostomum diversicolor,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Paranophrys marina,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Paraphysomonas hebetispina,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Parauronema longum,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Phymatolithon lenormandii,Norway,No_EASIN_data,Phymatolithon lenormandii; Not in GISD,GISD_listed_globally
Plagioselmis prolonga,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Polykrikos kofoidii,Norway,No_EASIN_data,Polykrikos kofoidii; Not in GISD,GISD_listed_globally
Proales reinhardti,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Protomonostroma undulatum,Norway,No_EASIN_data,Protomonostroma undulatum; Not in GISD,GISD_listed_globally
Pseudendoclonium fucicola,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Pseudocalanus moultoni,Norway,No_EASIN_data,Pseudocalanus moultoni; Not in GISD,GISD_listed_globally
Pylaiella littoralis,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Rimostrombidium veniliae,Norway,No_EASIN_data,Rimostrombidium veniliae; Not in GISD,GISD_listed_globally
Scalibregma inflatum,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Sourniaea diacantha,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Spatulodinium pseudonoctiluca,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Spirorbis tridentatus,Norway,No_EASIN_data,Spirorbis tridentatus; Not in GISD,GISD_listed_globally
Stauridiosarsia gemmifera,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Syltodinium listii,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Thalassiosira hispida,Norway,No_EASIN_data,Thalassiosira hispida; Not in GISD,GISD_listed_globally
Tripos macroceros,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Tubulanus annulatus,Norway,No_EASIN_data,Tubulanus annulatus; Not in GISD,GISD_listed_globally
Turtonia minuta,Norway,No_EASIN_data,Turtonia minuta; Not in GISD,GISD_listed_globally
Urosolenia eriensis,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Vertebrata lanosa,Norway,No_EASIN_data,Vertebrata lanosa; Not in GISD,GISD_listed_globally
uncultured Cercozoa,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Chlorophyta,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Chrysophyceae,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Chytridiomycota,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Cryptophyta,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Gyrodinium,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Mamiellales,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Oomycota,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Perkinsea,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Phaeophyceae,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Plasmodiophoridae,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Rhizaria,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Syndiniales,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Tintinnida,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured alveolate,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured ciliate,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured dinoflagellate,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured eukaryote,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured metazoan,Norway,No_EASIN_data,Invasive,GISD_listed_globally
uncultured stramenopile,Norway,No_EASIN_data,Invasive,GISD_listed_globally
Acartia bifilosa,Poland,No_EASIN_data,Acartia bifilosa; Not in GISD,GISD_listed_globally
Aegilops tauschii,Poland,No_EASIN_data,Invasive,GISD_listed_globally
Fallopia convolvulus,Poland,No_EASIN_data,Invasive,GISD_listed_globally
Melosira dubia,Poland,No_EASIN_data,Invasive,GISD_listed_globally
Strombidium conicum,Poland,No_EASIN_data,Strombidium conicum; Not in GISD,GISD_listed_globally
Thalassiosira hispida,Poland,No_EASIN_data,Thalassiosira hispida; Not in GISD,GISD_listed_globally
uncultured Cercozoa,Poland,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Cryptophyta,Poland,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Plasmodiophoridae,Poland,No_EASIN_data,Invasive,GISD_listed_globally
uncultured alveolate,Poland,No_EASIN_data,Invasive,GISD_listed_globally
uncultured ciliate,Poland,No_EASIN_data,Invasive,GISD_listed_globally
uncultured eukaryote,Poland,No_EASIN_data,Invasive,GISD_listed_globally
uncultured stramenopile,Poland,No_EASIN_data,Invasive,GISD_listed_globally
Acartia clausii,Portugal,No_EASIN_data,Acartia clausii; Not in GISD,GISD_listed_globally
Achnanthes kuwaitensis,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Acineta tuberosa,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Aegilops tauschii,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Annulonemertes minusculus,Portugal,No_EASIN_data,Annulonemertes minusculus; Not in GISD,GISD_listed_globally
Antedon mediterranea,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Astericola clausii,Portugal,No_EASIN_data,Astericola clausii; Not in GISD,GISD_listed_globally
Bacteriastrum hyalinum,Portugal,No_EASIN_data,Bacteriastrum hyalinum; Not in GISD,GISD_listed_globally
Bacteriastrum jadranum,Portugal,No_EASIN_data,Bacteriastrum jadranum; Not in GISD,GISD_listed_globally
Biecheleriopsis adriatica,Portugal,No_EASIN_data,Biecheleriopsis adriatica; Not in GISD,GISD_listed_globally
Blidingia dawsonii,Portugal,No_EASIN_data,Blidingia dawsonii; Not in GISD,GISD_listed_globally
Blidingia minima,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Centropages typicus,Portugal,No_EASIN_data,Centropages typicus; Not in GISD,GISD_listed_globally
Chaetoceros costatus,Portugal,No_EASIN_data,Chaetoceros costatus; Not in GISD,GISD_listed_globally
Chaetoceros curvisetus,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Chaetoceros didymus,Portugal,No_EASIN_data,Chaetoceros didymus; Not in GISD,GISD_listed_globally
Chaetoceros teres,Portugal,No_EASIN_data,Chaetoceros teres; Not in GISD,GISD_listed_globally
Chaetoceros willei,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Clytia hemisphaerica,Portugal,No_EASIN_data,Clytia hemisphaerica; Not in GISD,GISD_listed_globally
Cylindrostoma monotrochum,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Dysteria derouxi,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Ercolania felina,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Eutima gracilis,Portugal,No_EASIN_data,Eutima gracilis; Not in GISD,GISD_listed_globally
Grammatodinium tongyeonginum,Portugal,No_EASIN_data,Grammatodinium tongyeonginum; Not in GISD,GISD_listed_globally
Gymnodinium impudicum,Portugal,No_EASIN_data,Gymnodinium impudicum; Not in GISD,GISD_listed_globally
Gyrodinium jinhaense,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Hartmannula derouxi,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Hesionura elongata,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Heterosigma akashiwo,Portugal,No_EASIN_data,Heterosigma akashiwo; Not in GISD,GISD_listed_globally
Hiatella arctica,Portugal,No_EASIN_data,Hiatella arctica; Not in GISD,GISD_listed_globally
Isias clavipes,Portugal,No_EASIN_data,Isias clavipes; Not in GISD,GISD_listed_globally
Laackmanniella prolongata,Portugal,No_EASIN_data,Laackmanniella prolongata; Not in GISD,GISD_listed_globally
Laodicea undulata,Portugal,No_EASIN_data,Laodicea undulata; Not in GISD,GISD_listed_globally
Lichomolgus similis,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Lindrilus rubropharyngeus,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Litoditis marina,Portugal,No_EASIN_data,Litoditis marina; Not in GISD,GISD_listed_globally
Malacoceros fuliginosus,Portugal,No_EASIN_data,Malacoceros fuliginosus; Not in GISD,GISD_listed_globally
Mantamonas plastica,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Minutocellus polymorphus,Portugal,No_EASIN_data,Minutocellus polymorphus; Not in GISD,GISD_listed_globally
Monorhizochytrium globosum,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Mourgona murca,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Mytilicola intestinalis,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Noctiluca scintillans,Portugal,No_EASIN_data,Noctiluca scintillans; Not in GISD,GISD_listed_globally
Notomastus latericeus,Portugal,No_EASIN_data,Notomastus latericeus; Not in GISD,GISD_listed_globally
Obelia dichotoma,Portugal,No_EASIN_data,Obelia dichotoma; Not in GISD,GISD_listed_globally
Obelia geniculata,Portugal,No_EASIN_data,Obelia geniculata; Not in GISD,GISD_listed_globally
Oxyrrhis marina,Portugal,No_EASIN_data,Oxyrrhis marina; Not in GISD,GISD_listed_globally
Panagrolaimus paetzoldi,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Pharus legumen,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Plagioselmis prolonga,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Poecilochaetus serpens,Portugal,No_EASIN_data,Poecilochaetus serpens; Not in GISD,GISD_listed_globally
Polykrikos kofoidii,Portugal,No_EASIN_data,Polykrikos kofoidii; Not in GISD,GISD_listed_globally
Protoperidinium monovelum,Portugal,No_EASIN_data,Protoperidinium monovelum; Not in GISD,GISD_listed_globally
Pseudendoclonium fucicola,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Pyramimonas formosa,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Rhaphoneis amphiceros,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Sthenelais boa,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Syltodinium listii,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Symsagittifera roscoffensis,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Thalassiosira delicatula,Portugal,No_EASIN_data,Thalassiosira delicatula; Not in GISD,GISD_listed_globally
Tintinnopsis parvula,Portugal,No_EASIN_data,Tintinnopsis parvula; Not in GISD,GISD_listed_globally
Zoothamnium apoarbuscula,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Chlorophyceae,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Gyrodinium,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Plasmodiophoridae,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Strombidiidae,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
uncultured Tintinnida,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
uncultured alveolate,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
uncultured ciliate,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
uncultured diatom,Portugal,No_EASIN_data,uncultured diatom; Not in GISD,GISD_listed_globally
uncultured dinoflagellate,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
uncultured eukaryote,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
uncultured labyrinthulid,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
uncultured metazoan,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
uncultured microorganism,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
uncultured stramenopile,Portugal,No_EASIN_data,Invasive,GISD_listed_globally
Acartia clausii,Spain,Not_listed,Acartia clausii; Not in GISD,GISD_listed_globally
Acetabularia acetabulum,Spain,Not_listed,Acetabularia acetabulum; Not in GISD,GISD_listed_globally
Acineta tuberosa,Spain,Not_listed,Invasive,GISD_listed_globally
Annulonemertes minusculus,Spain,Not_listed,Annulonemertes minusculus; Not in GISD,GISD_listed_globally
Apoglossum ruscifolium,Spain,Not_listed,Invasive,GISD_listed_globally
Ataxiodinium choanum,Spain,Not_listed,Invasive,GISD_listed_globally
Bacteriastrum jadranum,Spain,Not_listed,Bacteriastrum jadranum; Not in GISD,GISD_listed_globally
Biecheleriopsis adriatica,Spain,Not_listed,Biecheleriopsis adriatica; Not in GISD,GISD_listed_globally
Centropages typicus,Spain,Not_listed,Centropages typicus; Not in GISD,GISD_listed_globally
Ceramium diaphanum,Spain,Not_listed,Invasive,GISD_listed_globally
Chaetoceros costatus,Spain,Not_listed,Chaetoceros costatus; Not in GISD,GISD_listed_globally
Chelonaplysilla erecta,Spain,Not_listed,Chelonaplysilla erecta; Not in GISD,GISD_listed_globally
Chytriodinium roseum,Spain,Not_listed,Chytriodinium roseum; Not in GISD,GISD_listed_globally
Convoluta convoluta,Spain,Not_listed,Convoluta convoluta; Not in GISD,GISD_listed_globally
Crisia denticulata,Spain,Not_listed,Invasive,GISD_listed_globally
Ercolania felina,Spain,Not_listed,Invasive,GISD_listed_globally
Euduboscquella triangula,Spain,Not_listed,Invasive,GISD_listed_globally
Eupolymnia nesidensis,Spain,Not_listed,Eupolymnia nesidensis; Not in GISD,GISD_listed_globally
Fulvia mutica,Spain,Not_listed,Invasive,GISD_listed_globally
Gastroclonium pacificum,Spain,Not_listed,Gastroclonium pacificum; Not in GISD,GISD_listed_globally
Grammatodinium tongyeonginum,Spain,Not_listed,Grammatodinium tongyeonginum; Not in GISD,GISD_listed_globally
Gymnodinium impudicum,Spain,Not_listed,Gymnodinium impudicum; Not in GISD,GISD_listed_globally
Gyrodinium jinhaense,Spain,Not_listed,Invasive,GISD_listed_globally
Halecium muricatum,Spain,Not_listed,Halecium muricatum; Not in GISD,GISD_listed_globally
Heterosigma akashiwo,Spain,Not_listed,Heterosigma akashiwo; Not in GISD,GISD_listed_globally
Hyalopale zerofskii,Spain,Not_listed,Hyalopale zerofskii; Not in GISD,GISD_listed_globally
Hydroides elegans,Spain,Not_listed,Hydroides elegans; Not in GISD,GISD_listed_globally
Isias clavipes,Spain,Not_listed,Isias clavipes; Not in GISD,GISD_listed_globally
Lessardia elongata,Spain,Not_listed,Lessardia elongata; Not in GISD,GISD_listed_globally
Licmophora abbreviata,Spain,Not_listed,Licmophora abbreviata; Not in GISD,GISD_listed_globally
