"Species","AphiaID","isMarine","isBrackish","isFreshwater","isTerrestrial","is_non_marine"
"Ichthyococcus elongatus",274952,TRUE,FALSE,FALSE,FALSE,FALSE
"Mitra cornicula",590519,TRUE,FALSE,FALSE,FALSE,FALSE
"Vibrio crassostreae",570755,TRUE,NA,FALSE,FALSE,FALSE
"Tolumonas auensis",NA,NA,NA,NA,NA,NA
"Syltodinium listii",110283,TRUE,NA,NA,NA,FALSE
"Pseudendoclonium incrustans",NA,NA,NA,NA,NA,NA
"Minutocellus polymorphus",464449,TRUE,NA,NA,FALSE,FALSE
"Oxyrrhis marina",109902,TRUE,TRUE,NA,FALSE,FALSE
"Paraphysomonas hebetispina",NA,NA,NA,NA,NA,NA
"Euduboscquella triangula",NA,NA,NA,NA,NA,NA
"Antetintinnidium mucicola",1800184,TRUE,NA,FALSE,FALSE,FALSE
"Mesanophrys carcini",427050,TRUE,FALSE,FALSE,FALSE,FALSE
"Hexamita nelsoni",NA,NA,NA,NA,NA,NA
"Labyrinthula terrestris",NA,NA,NA,NA,NA,NA
"Gymnodinium impudicum",232785,TRUE,NA,NA,NA,FALSE
"Gonothyraea loveni",117377,TRUE,NA,NA,FALSE,FALSE
"Licmophora abbreviata",157062,TRUE,NA,NA,FALSE,FALSE
"Pylaiella littoralis",157188,TRUE,TRUE,TRUE,NA,FALSE
"Anisolpidium rosenvingei",172252,TRUE,NA,NA,NA,FALSE
"Ephelota truncata",427253,TRUE,FALSE,FALSE,FALSE,FALSE
"Ficopomatus enigmaticus",130988,TRUE,TRUE,TRUE,FALSE,FALSE
"Monorhizochytrium globosum",NA,NA,NA,NA,NA,NA
"Acineta flava",NA,NA,NA,NA,NA,NA
"Notomastus latericeus",129898,TRUE,FALSE,FALSE,FALSE,FALSE
"Sourniaea diacantha",1760858,TRUE,NA,NA,NA,FALSE
"Obelia geniculata",117388,TRUE,NA,NA,FALSE,FALSE
"Aegilops tauschii",NA,NA,NA,NA,NA,NA
"Oncorhynchus kisutch",127184,TRUE,TRUE,TRUE,FALSE,FALSE
"Chaetoceros teres",149125,TRUE,NA,NA,FALSE,FALSE
