"Country","Site","Species","Marker","n_biosamples_positive","total_biosamples_at_site","n_pcr_positive","total_pcr_at_site","theta","p_empirical","mean_p_pcr","confidence_score","total_reads","total_reads_at_site","prop_reads","pcr_distribution","pcr_spread_ratio","Reliable"
"Netherlands","Netherlands_3","Mnemiopsis leidyi","COI",2,3,6,9,0.666666666666667,0.666666666666667,1,0.65,12192,1280628,0.00952032908854093,"6",1,"Reliable"
"Netherlands","Netherlands_3","Austrominius modestus","COI",1,3,3,9,0.333333333333333,0.333333333333333,1,0.35,2858,1280628,0.00223171756357037,"3",1,"Unreliable"
"Netherlands","Netherlands_3","Neogobius melanostomus","12S",1,3,1,9,0.333333333333333,0.111111111111111,0.333333333333333,0.1,116,148735,0.000779910579218072,"1",1,"Unreliable"
"Netherlands","Netherlands_4","Amphibalanus improvisus","COI",1,2,3,6,0.5,0.5,1,0.35,1172,359549,0.0032596391590576,"3",1,"Unreliable"
"Netherlands","Netherlands_4","Austrominius modestus","COI",1,2,1,6,0.5,0.166666666666667,0.333333333333333,0.1,157,359549,0.000436658146733825,"1",1,"Unreliable"
"Netherlands","Netherlands_4","Caprella mutica","12S",1,3,3,8,0.333333333333333,0.375,1,0.35,1442,65209,0.0221135119385361,"3",1,"Unreliable"
"Netherlands","Netherlands_4","Neogobius melanostomus","12S",1,3,2,8,0.333333333333333,0.25,0.666666666666667,0.25,42,65209,0.000644082871996197,"2",1,"Unreliable"
"Netherlands","Netherlands_5","Knipowitschia caucasica","12S",2,3,2,9,0.666666666666667,0.222222222222222,0.333333333333333,0.65,267,79499,0.00335853281173348,"2",1,"Marginal"
"Netherlands","Netherlands_5","Amphibalanus improvisus","COI",2,3,5,8,0.666666666666667,0.625,1,0.65,941,723073,0.0013013900394566,"5",1,"Reliable"
"Netherlands","Netherlands_5","Ficopomatus enigmaticus","18S",3,3,9,9,1,1,1,1,6394,412762,0.0154907670764266,"9",1,"Reliable"
"Netherlands","Netherlands_5","Neogobius melanostomus","12S",3,3,9,9,1,1,1,1,12783,79499,0.160794475402206,"9",1,"Reliable"
"Netherlands","Netherlands_5","Rhithropanopeus harrisii","12S",3,3,7,9,1,0.777777777777778,0.777777777777778,1,410,79499,0.00515729757607014,"7",1,"Reliable"
"Netherlands","Netherlands_6","Amphibalanus improvisus","COI",2,2,6,6,1,1,1,1,29137,530528,0.0549207581880692,"6",1,"Reliable"
"Netherlands","Netherlands_6","Neogobius melanostomus","12S",2,2,6,6,1,1,1,1,4250,36442,0.116623675978267,"6",1,"Reliable"
"Netherlands","Netherlands_7","Amphibalanus improvisus","COI",3,3,9,9,1,1,1,1,2670,596140,0.00447881370147952,"9",1,"Reliable"
"Netherlands","Netherlands_7","Ficopomatus enigmaticus","18S",3,3,5,9,1,0.555555555555556,0.555555555555556,0.9,352,383751,0.00091726145339035,"5",1,"Reliable"
"Netherlands","Netherlands_7","Knipowitschia caucasica","12S",3,3,7,9,1,0.777777777777778,0.777777777777778,1,3738,451148,0.00828552936065327,"7",1,"Reliable"
"Netherlands","Netherlands_7","Neogobius melanostomus","12S",3,3,9,9,1,1,1,1,286103,451148,0.634166614946758,"9",1,"Reliable"
"Netherlands","Netherlands_7","Rhithropanopeus harrisii","12S",3,3,9,9,1,1,1,1,4614,451148,0.0102272425013521,"9",1,"Reliable"
"Norway","Norway_1","Amphibalanus improvisus","COI",1,3,3,9,0.333333333333333,0.333333333333333,1,0.35,1842,1720270,0.00107076214780238,"3",1,"Unreliable"
"Norway","Norway_1","Schizoporella japonica","COI",1,3,3,9,0.333333333333333,0.333333333333333,1,0.35,2068,1720270,0.00120213687386282,"3",1,"Unreliable"
"Norway","Norway_1","Tricellaria inopinata","COI",1,3,3,9,0.333333333333333,0.333333333333333,1,0.35,7964,1720270,0.00462950583338662,"3",1,"Unreliable"
"Norway","Norway_3","Mnemiopsis leidyi","COI",2,3,6,9,0.666666666666667,0.666666666666667,1,0.65,3392,2338581,0.00145045221867449,"6",1,"Reliable"
"Norway","Norway_4","Neogobius melanostomus","12S",1,3,1,8,0.333333333333333,0.125,0.333333333333333,0.1,23,84157,0.000273298715496037,"1",1,"Unreliable"
"Poland","Poland_1","Neogobius melanostomus","12S",1,3,1,8,0.333333333333333,0.125,0.333333333333333,0.1,2008,88278,0.0227463241124629,"1",1,"Unreliable"
"Portugal","Portugal_1","Watersipora subatra","12S",2,3,4,9,0.666666666666667,0.444444444444444,0.666666666666667,0.65,333,157896,0.00210898312813497,"4",1,"Marginal"
"Portugal","Portugal_2","Watersipora subatra","12S",3,3,9,9,1,1,1,1,5909,256236,0.0230607721007196,"9",1,"Reliable"
"Portugal","Portugal_3","Watersipora subatra","12S",3,3,9,9,1,1,1,1,9659,1076302,0.00897424700502275,"9",1,"Reliable"
"Portugal","Portugal_3","Austrominius modestus","COI",1,3,3,9,0.333333333333333,0.333333333333333,1,0.35,1762,995693,0.0017696217609243,"3",1,"Unreliable"
"Portugal","Portugal_4","Watersipora subatra","12S",2,3,2,9,0.666666666666667,0.222222222222222,0.333333333333333,0.65,127,689987,0.000184061438838703,"2",1,"Marginal"
"Portugal","Portugal_4","Austrominius modestus","COI",1,3,3,9,0.333333333333333,0.333333333333333,1,0.35,1271,1437346,0.000884268645127895,"3",1,"Unreliable"
"Spain","Spain_1","Watersipora subatra","12S",2,3,3,9,0.666666666666667,0.333333333333333,0.5,0.65,468,354753,0.00131922774437425,"3",1,"Marginal"
"Spain","Spain_2","Hydroides elegans","18S",1,3,1,8,0.333333333333333,0.125,0.5,0.1,79,449244,0.00017585098521071,"1",1,"Unreliable"
